filename,opcodes,label
control_flow_flatten_safe_2_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop push sub mov mov mov jmp nop mov cmp jne mov mov call mov mov lea mov call add pop ret cmp jg mov ret sub mov call mov add ret,0
stack_overflow_vuln_9_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp sub mov mov call add ret cmp jg mov ret sub mov call mov add ret,1
oob_safe_1_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov ret,0
int_safe_7_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov mov idiv cmp jl mov imul ret mov ret sub mov lea mov call mov add ret,0
arm_stack_safe_3_x86_O2,xor ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop ret,0
format_safe_4_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push add mov mov mov call mov lea mov call mov sub pop ret,0
race_vuln_3_x86_O2,sub xor lea xor mov call lea xor xor lea call mov xor call mov xor call xor add ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop add xor ret,1
format_safe_8_x86_O2,push mov add mov mov call mov lea xor call sub xor pop ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,0
race_safe_9_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov mov jmp lea mov call mov add mov lea mov call add cmp jle mov leave ret push mov sub lea mov mov call lea lea mov mov mov call lea lea mov mov mov call mov mov mov call mov mov mov call lea mov call mov leave ret,0
oob_vuln_2_x86_O2,xor ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,1
inline_asm_safe_4_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov add ret call ret cmp jg mov ret call jmp,0
control_flow_flatten_safe_9_x86_O3,cmp jg xor ret push mov call xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop sub mov mov mov call mov xor mov lea call add ret,0
use_after_free_safe_3_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov call mov mov mov call mov mov leave ret,0
inline_asm_vuln_7_x86_O2,cmp jg xor ret push mov call xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop mov add ret nop sub mov mov add mov call add ret,1
arm_stack_vuln_0_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov mov lea mov mov call nop leave ret push mov sub mov mov cmp jle mov add mov mov call mov leave ret,1
heap_overflow_vuln_8_x86_O3,cmp jg xor ret push mov call xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop push mov mov call mov mov call pop mov jmp,1
inline_asm_safe_1_x86_O3,cmp jle mov add xor ret xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop mov add ret nop mov add ret,0
stack_safe_3_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp ret mov ret,0
control_flow_flatten_safe_3_x86_O2,cmp jg xor ret push mov call xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop sub mov mov mov call mov xor mov lea call add ret,0
arm_stack_safe_2_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov mov lea mov mov mov call mov nop leave ret push mov sub mov mov cmp jle mov add mov mov call mov leave ret,0
int_overflow_vuln_1_x86_O3,sub mov lea xor call xor add ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,1
format_vuln_7_x86_O2,push mov add mov mov call mov xor call sub xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,1
format_vuln_1_x86_O2,push mov add mov mov call mov xor call sub xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,1
format_vuln_6_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push add mov mov mov call mov mov call mov sub pop ret,1
format_vuln_1_x86_O3,push mov add mov mov call mov xor call sub xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,1
arm_stack_safe_5_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov mov lea mov mov mov call mov nop leave ret push mov sub mov mov cmp jle mov add mov mov call mov leave ret,0
arm_stack_vuln_3_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp sub mov mov call add ret cmp jg mov ret sub mov call mov add ret,1
control_flow_flatten_vuln_0_x86_O3,cmp jg xor ret push mov call xor pop ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop sub mov mov call mov lea xor call add ret,1
dead_code_vuln_2_x86_O3,cmp jg xor ret sub mov mov call xor add ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop imul ret nop sub mov mov call add ret,1
control_flow_flatten_safe_3_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop push sub mov mov mov jmp nop mov cmp jne mov mov call mov mov lea mov call add pop ret cmp jg mov ret sub mov call mov add ret,0
oob_safe_4_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov ret,0
format_safe_8_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov add mov lea mov mov call lea lea mov mov mov call mov leave ret,0
oob_safe_8_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov ret,0
dead_code_vuln_5_x86_O3,cmp jg xor ret sub mov mov call xor add ret nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop imul ret nop sub mov mov call add ret,1
oob_safe_5_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov mov mov pop ret,0
oob_safe_3_x86_O3,xor ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp,0
double_free_vuln_5_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov ret,1
heap_safe_1_x86_O2,xor ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop ret,0
stack_overflow_vuln_0_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov sub mov mov lea mov mov call nop leave ret push mov sub mov mov cmp jle mov add mov mov call mov leave ret,1
arm_stack_safe_1_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp ret mov ret,0
stack_overflow_vuln_5_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp sub mov mov call add ret cmp jg mov ret sub mov call mov add ret,1
oob_safe_4_x86_O0,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp push mov mov mov pop ret,0
use_after_free_safe_9_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp mov ret,0
arm_stack_safe_4_x86_O1,xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp ret mov ret,0
dead_code_safe_8_x86_O3,xor ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop imul ret nop ret,0
race_safe_1_x86_O3,sub xor lea call mov xor xor lea call xor lea xor lea call mov xor call mov xor call lea call xor add ret nop nop xor mov pop mov and push push xor xor mov call hlt nop nop ret nop nop mov cmp je mov test je mov jmp nop ret nop nop mov sub mov shr sar add sar je mov test je mov jmp ret nop nop endbr64 cmp jne push mov call mov pop ret nop ret nop nop endbr64 jmp nop push mov nop lea call lea add call sub jne xor pop ret,0
