filename,label
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_01__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_02__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_03__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_04__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_04__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_04__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_04__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_05__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_06__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_06__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_06__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_06__O2__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_07__O0__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_07__O0__good,0
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_07__O2__bad,1
CWE121_Stack_Based_Buffer_Overflow__CWE129_connect_socket_07__O2__good,0
