binary,function,tokens,label
arm_stack_safe_0_x86_O0,safe,push_reg mov_reg_reg sub_reg_imm mov_mem_reg mov_reg_mem lea_reg_mem mov_reg_imm mov_reg_reg mov_reg_reg call_strncpy mov_mem_imm nop leave ret,0
arm_stack_safe_0_x86_O0,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_0_x86_O0,main,push_reg mov_reg_reg sub_reg_imm mov_mem_reg mov_mem_reg cmp_mem_imm jle_imm mov_reg_mem add_reg_imm mov_reg_mem mov_reg_reg call_internal mov_reg_imm leave ret,0
arm_stack_safe_0_x86_O1,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_0_x86_O1,main,mov_reg_imm ret,0
arm_stack_safe_0_x86_O2,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_0_x86_O3,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_1_x86_O0,safe,push_reg mov_reg_reg sub_reg_imm mov_mem_reg mov_reg_mem lea_reg_mem mov_reg_imm mov_reg_reg mov_reg_reg call_strncpy mov_mem_imm nop leave ret,0
arm_stack_safe_1_x86_O0,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_1_x86_O0,main,push_reg mov_reg_reg sub_reg_imm mov_mem_reg mov_mem_reg cmp_mem_imm jle_imm mov_reg_mem add_reg_imm mov_reg_mem mov_reg_reg call_internal mov_reg_imm leave ret,0
arm_stack_safe_1_x86_O1,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_1_x86_O1,main,mov_reg_imm ret,0
arm_stack_safe_1_x86_O2,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_1_x86_O3,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
arm_stack_safe_2_x86_O0,safe,push_reg mov_reg_reg sub_reg_imm mov_mem_reg mov_reg_mem lea_reg_mem mov_reg_imm mov_reg_reg mov_reg_reg call_strncpy mov_mem_imm nop leave ret,0
arm_stack_safe_2_x86_O0,_start,xor_reg_reg mov_reg_reg pop_reg mov_reg_reg and_reg_imm push_reg push_reg xor_reg_reg xor_reg_reg mov_reg_imm call_indirect hlt,0
